,Static (M),Dynamic Allocation,Static (M),Static (M),Static (M),Static (M),Static (M)
2020-03-09 13:09:40.203909,0.0,,,,,,
2020-03-09 15:34:40.112396,,,,0.0,,,
2020-03-10 13:09:40.203909,0.0,,,,,,
2020-03-10 15:34:40.112396,,,,0.0,,,
2020-03-11 13:09:40.203909,-0.0045377938279309,,,,,,
2020-03-11 15:34:40.112396,,,,-0.0070768179370164,,,
2020-03-12 13:09:40.203909,0.0,,,,,,
2020-03-12 15:34:40.112396,,,,0.0,,,
2020-03-13 13:09:40.203909,0.0,,,,,,
2020-03-13 15:34:40.112396,,,,-0.000452358992567,,,
2020-03-16 13:09:40.203909,0.0,,,,,,
2020-03-16 15:34:40.112396,,,,-0.004924230636198,,,
2020-03-17 13:09:40.203909,0.0,,,,,,
2020-03-17 15:34:40.112396,,,,-0.0152175615088863,,,
2020-03-18 13:09:40.203909,-0.0039150816587741,,,,,,
2020-03-18 15:34:40.112396,,,,-0.0153249167274164,,,
2020-03-19 13:09:40.203909,-0.0029167350629808,,,,,,
2020-03-19 15:34:40.112396,,,,-0.0096660584642892,,,
2020-03-20 13:09:40.203909,-0.0046081543696543,,,,,,
2020-03-20 15:34:40.112396,,,,-0.0112582831886328,,,
2020-03-23 13:09:40.203909,-0.0012068927031982,,,,,,
2020-03-23 15:34:40.112396,,,,-0.0243221900761422,,,
2020-03-24 13:09:40.203909,-0.0059195557928675,,,,,,
2020-03-24 15:34:40.112396,,,,-0.0231233983822681,,,
2020-03-25 13:09:40.203909,-0.0100279697206687,,,,,,
2020-03-25 15:34:40.112396,,,,-0.0200842603683929,,,
2020-03-26 13:09:40.203909,-0.0110872006600357,,,,,,
2020-03-26 15:34:40.112396,,,,-0.0308291682418211,,,
2020-03-27 13:09:40.203909,-0.0159955696491709,,,,,,
2020-03-27 15:34:40.112396,,,,-0.0323347817135636,,,
2020-03-30 13:09:40.203909,-0.0166798179395208,,,,,,
2020-03-30 15:34:40.112396,,,,-0.051215472572892,,,
2020-03-31 13:09:40.203909,-0.0087964127406737,,,,,,
2020-03-31 15:34:40.112396,,,,-0.0484851620831868,,,
2020-04-01 13:09:40.203909,0.0,,,,,,
2020-04-01 15:34:40.112396,,,,-0.0561473915526326,,,
2020-04-02 13:09:40.203909,-0.0031266526661022,,,,,,
2020-04-02 15:34:40.112396,,,,-0.0601136297879751,,,
2020-04-03 13:09:40.203909,-0.0133149612820967,,,,,,
2020-04-03 15:34:40.112396,,,,-0.0613312957464385,,,
2020-04-06 13:09:40.203909,-0.0155539192927437,,,,,,
2020-04-06 15:34:40.112396,,,,-0.0511815323898399,,,
2020-04-07 13:09:40.203909,-0.0222206088879615,,,,,,
2020-04-07 15:34:40.112396,,,,-0.0488926985224545,,,
2020-04-08 13:09:40.203909,-0.0237584637624048,,,,,,
2020-04-08 15:34:40.112396,,,,-0.0494376776991717,,,
2020-04-09 13:09:40.203909,-0.0208661490592761,,,,,,
2020-04-09 15:34:40.112396,,,,-0.0360737194516272,,,
2020-04-10 13:09:40.203909,-0.0112790995638882,,,,,,
2020-04-10 15:34:40.112396,,,,-0.01441514035949,,,
2020-04-13 13:09:40.203909,-0.0111014622566246,,,,,,
2020-04-13 15:34:40.112396,,,,-0.008759912156057,,,
2020-04-14 13:09:40.203909,0.0,,,,,,
2020-04-14 15:34:40.112396,,,,-0.0032101350291863,,,
2020-04-15 13:09:40.203909,-0.000195607818305,,,,,,
2020-04-15 15:34:40.112396,,,,-0.0032005311973964,,,
2020-04-16 13:09:40.203909,-0.0100865845172594,,,,,,
2020-04-16 15:34:40.112396,,,,0.0,,,
2020-04-17 13:09:40.203909,-0.0079769888836696,,,,,,
2020-04-17 15:34:40.112396,,,,0.0,,,
2020-04-20 13:09:40.203909,0.0,,,,,,
2020-04-20 15:34:40.112396,,,,0.0,,,
2020-04-21 13:09:40.203909,0.0,,,,,,
2020-04-21 15:34:40.112396,,,,0.0,,,
2020-04-22 13:09:40.203909,0.0,,,,,,
2020-04-22 15:34:40.112396,,,,0.0,,,
2020-04-23 13:09:40.203909,0.0,,,,,,
2020-04-23 15:34:40.112396,,,,0.0,,,
2020-04-24 13:09:40.203909,-0.0057596450498438,,,,,,
2020-04-24 15:34:40.112396,,,,0.0,,,
2020-04-27 13:09:40.203909,0.0,,,,,,
2020-04-27 15:34:40.112396,,,,0.0,,,
2020-04-28 13:09:40.203909,-0.0020146789313668,,,,,,
2020-04-28 15:34:40.112396,,,,-0.0001988089712207,,,
2020-04-29 13:09:40.203909,-0.0097890176328748,,,,,,
2020-04-29 15:34:40.112396,,,,-0.0018209212145527,,,
2020-04-30 13:09:40.203909,-0.0126911430846045,,,,,,
2020-04-30 15:34:40.112396,,,,-0.0031155922602434,,,
2020-05-01 13:09:40.203909,-0.0157041789049212,,,,,,
2020-05-01 15:34:40.112396,,,,0.0,,,
2020-05-04 13:09:40.203909,-0.0110333075674531,,,,,,
2020-05-04 15:34:40.112396,,,,0.0,,,
2020-05-05 13:09:40.203909,-0.0170384326223892,,,,,,
2020-05-05 15:34:40.112396,,,,0.0,,,
2020-05-06 13:09:40.203909,-0.0202441826343033,,,,,,
2020-05-06 15:34:40.112396,,,,0.0,,,
2020-05-07 13:09:40.203909,-0.0198402466372866,,,,,,
2020-05-07 15:34:40.112396,,,,0.0,,,
2020-05-08 13:09:40.203909,-0.0122493212150891,,,,,,
2020-05-08 15:34:40.112396,,,,-0.0059531907981588,,,
2020-05-11 13:09:40.203909,-0.0071538940787425,,,,,,
2020-05-11 15:34:40.112396,,,,-0.0068922417139589,,,
2020-05-12 13:09:40.203909,-0.0030212328645302,,,,,,
2020-05-12 15:34:40.112396,,,,-0.0188222647971429,,,
2020-05-13 13:09:40.203909,-0.0167763625679484,,,,,,
2020-05-13 15:34:40.112396,,,,-0.0139852699950698,,,
2020-05-14 13:09:40.203909,-0.0244100107998215,,,,,,
2020-05-14 15:34:40.112396,,,,-0.018410414184656,,,
2020-05-15 13:09:40.203909,-0.0386684962052146,,,,,,
2020-05-15 15:34:40.112396,,,,-0.0151117518962381,,,
2020-05-18 13:09:40.203909,-0.0367384873823029,,,,,,
2020-05-18 15:34:40.112396,,,,-0.0179485793710155,,,
2020-05-19 13:09:40.203909,-0.0333395801529956,,,,,,
2020-05-19 15:34:40.112396,,,,-0.0325825619245472,,,
2020-05-20 13:09:40.203909,-0.0355103358969588,,,,,,
2020-05-20 15:34:40.112396,,,,-0.0236245603909365,,,
2020-05-21 13:09:40.203909,-0.0378211922964035,,,,,,
2020-05-21 15:34:40.112396,,,,-0.0145917906401308,,,
2020-05-22 13:09:40.203909,-0.0342764232234865,,,,,,
2020-05-22 15:34:40.112396,,,,-0.0073746983077204,,,
2020-05-25 13:09:40.203909,-0.0337096714984308,,,,,,
2020-05-25 15:34:40.112396,,,,-0.0236410418228659,,,
2020-05-26 13:09:40.203909,-0.0317654039506484,,,,,,
2020-05-26 15:34:40.112396,,,,-0.00912818787461,,,
2020-05-27 13:09:40.203909,-0.0412355858878147,,,,,,
2020-05-27 15:34:40.112396,,,,0.0,,,
2020-05-28 13:09:40.203909,-0.0461377094185974,,,,,,
2020-05-28 15:34:40.112396,,,,0.0,,,
2020-05-29 13:09:40.203909,-0.0377968094012342,,,,,,
2020-05-29 15:34:40.112396,,,,0.0,,,
2020-06-01 13:09:40.203909,-0.0278718581270221,,,,,,
2020-06-01 15:34:40.112396,,,,0.0,,,
2020-06-02 13:09:40.203909,-0.0233137558964385,,,,,,
2020-06-02 15:34:40.112396,,,,-0.0058756304017467,,,
