t,Equal Weight,Max Sharpe,Min Volatility,Risk Parity
2023-03-13 04:00:00,100000.0,100000.0,100000.0,100000.0
2023-03-14 04:00:00,101270.66019374022,100846.55803343884,99889.57840980167,100747.2318989886
2023-03-15 04:00:00,100855.34147419591,101161.67885269414,99618.7419218136,100274.26234432212
2023-03-16 04:00:00,102581.72055760933,102712.73921135876,99903.74000375433,101407.0340268802
2023-03-17 04:00:00,102245.80894574628,103315.99809705654,100797.18977530752,101469.25466058552
2023-03-20 04:00:00,102380.82302205088,103701.85033767566,101326.02892995658,101857.21936938974
2023-03-21 04:00:00,103707.24221967992,103990.05322864203,101787.9414223503,102957.75848959594
2023-03-22 04:00:00,102745.97013087435,103882.45182057092,101885.51042719386,102322.84159221537
2023-03-23 04:00:00,103224.53241435609,104662.36323673016,102234.30471330414,102709.8918789544
2023-03-24 04:00:00,103263.39242610734,104232.30364970324,102262.96543087329,102805.4579039274
2023-03-27 04:00:00,103033.7589621122,103570.60957627694,101526.04281763156,102430.64716430934
2023-03-28 04:00:00,103036.1090301057,103668.63276454103,101978.40568064664,102616.1778395654
2023-03-29 04:00:00,104374.22625047097,104694.72905610692,102666.81581371762,103754.48424617326
2023-03-30 04:00:00,105213.5391720312,105740.35663544644,103421.78335248584,104551.11460211076
2023-03-31 04:00:00,106361.53209845292,106383.74104122116,104095.45318113694,105529.49191920111
2023-04-03 04:00:00,107118.67018717268,106820.25085278644,105867.7466008299,106828.32767333458
2023-04-04 04:00:00,107151.87549023164,107732.62851768437,106245.4802537102,106918.0410657647
2023-04-05 04:00:00,106682.0781002569,106754.40057362764,106639.9601450053,106847.63859262766
2023-04-06 04:00:00,107001.26039283264,106769.23414612647,106310.6291033368,106881.2514526863
2023-04-07 04:00:00,107001.26039283264,106769.23414612647,106310.6291033368,106881.2514526863
2023-04-10 04:00:00,106439.95196734538,105911.2790361826,105177.17192941536,106099.16479782542
2023-04-11 04:00:00,105997.85206166608,105587.7153486794,105336.7755872778,105915.94208939574
2023-04-12 04:00:00,105616.39325454556,105301.14619172552,105349.3631039608,105686.92734215356
2023-04-13 04:00:00,107345.5611458563,107915.77570819712,106436.90305744224,107149.72708359842
2023-04-14 04:00:00,107719.15511682302,107592.15925519464,105618.71475429198,107015.11762641511
2023-04-17 04:00:00,107670.4662237986,107493.54458380022,104929.22745768416,106698.17388650317
2023-04-18 04:00:00,108171.23151015455,107951.3683326802,105758.32943448848,107362.15136876608
2023-04-19 04:00:00,108354.21572799014,108312.8841740268,105662.03005527878,107424.0998167052
2023-04-20 04:00:00,107985.8335188551,108178.3659252014,105648.82486965152,107156.94915837876
2023-04-21 04:00:00,108067.62098770516,107907.12572829804,105073.94899014557,106976.80960330552
2023-04-24 04:00:00,108230.15749500884,107993.0246917443,105858.74928134604,107430.0275608525
2023-04-25 04:00:00,106807.30850732274,107083.09921537383,105755.6660876928,106498.67258917831
2023-04-26 04:00:00,107391.29545849268,107105.90700364548,105374.01043780944,106665.41041484696
2023-04-27 04:00:00,109408.51685117616,109044.16853950109,106127.9401506373,108210.65372219178
2023-04-28 04:00:00,109743.78525143769,108632.7536660462,107076.22915646044,108862.63974061514
2023-05-01 04:00:00,108702.31469779088,107986.50634521492,105296.2778740344,107495.40273281312
2023-05-02 04:00:00,108378.6386946658,108793.72272466344,105413.39490781746,107169.5865763195
2023-05-03 04:00:00,107770.65720491862,108791.52051933292,105206.04818321724,106659.52162262324
2023-05-04 04:00:00,107205.22805059249,108724.58048278998,104559.70633348497,106004.21418981794
2023-05-05 04:00:00,108921.93704730972,110069.08228115112,105614.64429731728,107580.17322531066
2023-05-08 04:00:00,108815.37765977385,110161.65908726724,105332.22996803222,107418.10188201016
2023-05-09 04:00:00,108574.46164007048,110227.06801661129,105213.11957696118,107195.7091654616
2023-05-10 04:00:00,109461.9848433608,111164.53517580435,105432.37175375692,107763.66579651771
2023-05-11 04:00:00,109400.28686022558,111122.84458847152,105035.47179298292,107522.55179816396
2023-05-12 04:00:00,108694.3033569627,110343.60994809274,104594.2959359008,106959.17987543954
2023-05-15 04:00:00,108823.68277758751,110568.07524863788,104179.87210364344,106848.64457911644
2023-05-16 04:00:00,108560.0942871627,110313.58867631343,103227.63517248524,106256.84224046471
2023-05-17 04:00:00,109774.83465790488,110893.54362378104,103645.20338558638,107184.70699873404
2023-05-18 04:00:00,110733.39999209988,111319.66506186008,103638.49913375404,107804.81663754069
2023-05-19 04:00:00,110530.81524443623,111442.63945136612,103856.82774587673,107782.72329140626
2023-05-22 04:00:00,110172.02604960394,110848.06499470006,103346.7212414278,107360.93597140884
2023-05-23 04:00:00,109514.50584666218,110256.21874866048,103334.30102904011,106963.246338178
2023-05-24 04:00:00,109392.44230567616,110179.29044639449,103237.87051977814,106873.9365308588
2023-05-25 04:00:00,109850.62301859916,109699.21239425532,102813.93779002946,106991.8083367072
2023-05-26 04:00:00,111547.76697689822,111361.97232606186,103398.89881074216,108193.14991866727
2023-05-29 04:00:00,111547.76697689822,111361.97232606186,103398.89881074216,108193.14991866727
2023-05-30 04:00:00,111984.45205577144,112338.843110017,103848.40088100127,108587.43799541506
2023-05-31 04:00:00,111358.9445364478,112107.14937206933,103679.01019465605,108110.36885028084
2023-06-01 04:00:00,112627.01563222372,113533.7982254722,104593.57596299358,109237.30310653774
2023-06-02 04:00:00,113454.11174520176,113399.45657162846,104545.49460067248,109798.37089100805
2023-06-05 04:00:00,113339.58870440855,113487.19563313929,104410.05777598669,109645.40794129792
2023-06-06 04:00:00,113601.02699949533,113684.54740538004,104718.43426725648,109930.16012094692
2023-06-07 04:00:00,112386.0168300434,112048.88956098634,104215.02477578366,109127.08480955329
2023-06-08 04:00:00,113454.8319673239,113727.86129315212,105170.08299962035,110101.82612376532
2023-06-09 04:00:00,113404.94396558208,113566.52342178304,104941.52843195846,109977.4414149137
2023-06-12 04:00:00,114350.63728185298,114605.549720937,105173.00415780937,110610.4891653005
2023-06-13 04:00:00,114484.61905149932,114225.86765657684,104677.21161313678,110513.69664289798
2023-06-14 04:00:00,114629.6330805814,114315.91186488312,104730.1485011996,110594.336770185
2023-06-15 04:00:00,116003.38032663138,115283.35566370068,105730.12202207696,111818.7222396442
2023-06-16 04:00:00,115224.23628822104,114737.89963050232,105209.17249931606,111130.70705679564
2023-06-19 04:00:00,115224.23628822104,114737.89963050232,105209.17249931606,111130.70705679564
2023-06-20 04:00:00,114594.19886101168,114261.1893062661,104509.0887459714,110430.39164698008
2023-06-21 04:00:00,114142.63082692029,113812.316884436,104610.22678355944,110228.71049261928
2023-06-22 04:00:00,114740.97326283954,114647.38987054452,104310.15009451352,110469.27162292722
2023-06-23 04:00:00,114211.24897154277,114538.21034380092,104353.07786919687,110137.94914430851
2023-06-26 04:00:00,113734.59935911234,114032.77726392476,104607.68582304506,110002.28537107492
2023-06-27 04:00:00,114647.17827422117,114686.74426282998,104869.48229205192,110681.912037299
2023-06-28 04:00:00,114868.21915579,114766.91734358136,105265.50393589068,111005.22834806472
2023-06-29 04:00:00,115130.95221114284,114894.86664616122,105071.30118826978,111108.8390143371
2023-06-30 04:00:00,116722.66252366692,116623.14210709505,106278.22681490469,112535.54689989184
2023-07-03 04:00:00,116592.04858296733,116427.74528781258,105930.32690663116,112314.62919859984
2023-07-04 04:00:00,116592.04858296733,116427.74528781258,105930.32690663116,112314.62919859984
2023-07-05 04:00:00,116108.6268788988,115938.09723550742,105324.22836013068,111789.29826703892
2023-07-06 04:00:00,115029.32801393974,115494.94389844872,104072.13524939402,110576.35985301311
2023-07-07 04:00:00,115016.45094438216,115926.96985335188,104011.09345959008,110509.56554988904
2023-07-10 04:00:00,114729.6277586118,115202.99385333336,104108.86991200683,110430.70896552264
2023-07-11 04:00:00,115498.38389195026,115668.02919820035,104586.99316063491,111076.72801400298
2023-07-12 04:00:00,116704.4922565864,117034.1806360398,105647.2653670404,112195.8100949402
2023-07-13 04:00:00,117609.32414749486,117794.70878544472,105677.32338333676,112668.94327955248
2023-07-14 04:00:00,117271.55297895806,117770.37813478608,104680.3924972208,111977.58142291936
2023-07-17 04:00:00,117960.22699951813,118496.2933442346,105180.70567464115,112597.84907550264
2023-07-18 04:00:00,118780.76954399084,118936.37253908937,105694.79232867528,113262.67105969586
2023-07-19 04:00:00,119266.83990733608,119632.59422650354,106254.24249197026,113774.57496661627
2023-07-20 04:00:00,118045.50135091422,118272.91807817535,105838.457414342,112959.80344187155
2023-07-21 04:00:00,117726.26051103002,117817.32220828756,105688.36314927532,112734.75716697764
2023-07-24 04:00:00,118157.9518770265,117751.25019664828,105923.38957782512,113132.58522688322
2023-07-25 04:00:00,118561.97323178168,118189.43265403475,106246.20036818764,113507.62531736886
2023-07-26 04:00:00,118067.85791064588,118519.3617641684,106220.93226523596,113198.75163809748
2023-07-27 04:00:00,117030.80594964077,117370.49555532471,105058.72298659636,112163.81970511837
2023-07-28 04:00:00,118357.0846788598,118942.56934497385,105541.89019945472,113080.57956313148
2023-07-31 04:00:00,119015.91831346758,119486.2237585271,106400.13756516132,113870.91692567331
2023-08-01 04:00:00,118178.93114208164,118440.57600177714,105345.36811272964,112978.16968919408
2023-08-02 04:00:00,116295.93558816056,116970.43504345194,104182.63700427876,111388.546697931
2023-08-03 04:00:00,116184.02846279074,116829.72416730838,103796.299067966,111196.7946028748
2023-08-04 04:00:00,116824.28667277544,116777.28952917208,103446.37899269242,111275.1401461588
2023-08-07 04:00:00,117067.53750717075,116476.4339616861,102759.49585403058,111116.67558425102
2023-08-08 04:00:00,116635.27439837996,115951.29966166482,103045.43210912887,111023.11449379876
