final_value,Method
349987.5441579759,historical
374541.9537756277,historical
527433.2717688597,historical
219875.15427679545,historical
313432.9896629071,historical
313761.3299014085,historical
294549.22761593625,historical
401169.87561102695,historical
251142.1722812708,historical
273888.89776825043,historical
299869.1177625646,historical
299332.7366196281,historical
304394.8248114022,historical
281103.2400125443,historical
462344.7648650921,historical
296792.9526434208,historical
232983.30667546453,historical
220236.94617637285,historical
344130.8201870766,historical
446639.1980550903,historical
281904.1010165167,historical
332981.4069922325,historical
289338.4085060714,historical
391545.2436897344,historical
347090.9529250236,historical
290413.17651472223,historical
377271.9170084485,historical
341098.52382327046,historical
225001.50665840943,historical
283242.85034322256,historical
271942.5768074081,historical
303337.9789073512,historical
429458.8248326912,historical
574189.4172891978,historical
244582.0342954777,historical
282441.5951096958,historical
326449.2402791968,historical
351729.9920268046,historical
456835.3481368752,historical
387550.940282183,historical
357162.4727923732,historical
279313.4977905774,historical
276114.71101201,historical
298560.7072871411,historical
552438.735192037,historical
273699.3333406967,historical
371003.09341762494,historical
363689.6232179357,historical
321048.4939319539,historical
418977.7147079602,historical
269966.72494536004,historical
300810.2585424487,historical
273608.8099881504,historical
413422.5946792056,historical
308670.78487893223,historical
247441.3553541577,historical
188201.4057721196,historical
372407.5024820143,historical
431807.54820299445,historical
362241.6321359078,historical
257658.82714860933,historical
301708.0314495722,historical
294935.7123704075,historical
275381.57420639246,historical
256008.41136671643,historical
174290.5827397859,historical
471953.9342169592,historical
246461.97251597207,historical
252775.22402195065,historical
206871.30026845608,historical
638085.3096765795,historical
314462.04842536425,historical
266854.20159157907,historical
385932.7824040515,historical
331521.97671736614,historical
365692.7731684504,historical
331096.70897502697,historical
231481.0360953672,historical
275429.42214409425,historical
243205.39954457415,historical
268385.9616176767,historical
300487.5939042171,historical
281557.42864610243,historical
357940.8449449388,historical
316106.9172695547,historical
350713.468831773,historical
265513.10848312726,historical
349119.0975350954,historical
555516.1716471508,historical
263404.44538254413,historical
298951.83004385483,historical
301932.547926295,historical
255784.80217361657,historical
343207.10799922846,historical
219432.9012057913,historical
246750.10188945296,historical
341636.04560121946,historical
275753.81887114974,historical
191769.81150249907,historical
342155.0461488529,historical
222070.5771978157,historical
275348.899198484,historical
618574.8390597716,historical
405974.0591692759,historical
210736.95802002732,historical
368117.1115655936,historical
277306.19187315024,historical
274678.13940857246,historical
443900.5480934534,historical
398426.1164563028,historical
413613.5815139773,historical
321997.9414337804,historical
618010.5184962264,historical
317728.8440366711,historical
353224.1954525558,historical
440918.0259520358,historical
246503.65780600955,historical
452229.0585847517,historical
285732.5450884981,historical
323798.3252569305,historical
302337.3258654804,historical
191990.43800108923,historical
284295.8506437111,historical
378312.8985840466,historical
290313.5343274581,historical
192030.34322564755,historical
287743.4996230804,historical
323698.1928416671,historical
415490.64139002975,historical
225328.2230652329,historical
477714.9651007723,historical
226644.55803101297,historical
264120.707206334,historical
322137.8958911074,historical
188662.4894980421,historical
327015.622698591,historical
390054.925268614,historical
337261.0985061749,historical
346423.4272584788,historical
304512.0375483659,historical
159693.19082542407,historical
491778.5463807534,historical
343623.852310576,historical
504980.8198911025,historical
275020.3295345527,historical
507374.90334407386,historical
387661.14486632735,historical
