Asset,Metric,Value
0,annual_volatility,0.1589052065630964
1,annual_volatility,0.1933685919044937
2,annual_volatility,0.1420203760863956
3,annual_volatility,0.1287196847624772
4,annual_volatility,0.1781612967938297
5,annual_volatility,0.2078581177258764
6,annual_volatility,0.2942162167083914
7,annual_volatility,0.2816370356300239
8,annual_volatility,0.1836995687020139
0,upside_volatility,0.2120431781954662
1,upside_volatility,0.2352647643786474
2,upside_volatility,0.1369760008891777
3,upside_volatility,0.1396112210531947
4,upside_volatility,0.1581673480165139
5,upside_volatility,0.2186116775349581
6,upside_volatility,0.3368679760675474
7,upside_volatility,0.3892989002805025
8,upside_volatility,0.1468472677794832
0,downside_volatility,0.0858694685319215
1,downside_volatility,0.1219618230419644
2,downside_volatility,0.1047589382808151
3,downside_volatility,0.0872880198220291
4,downside_volatility,0.1450533849282634
5,downside_volatility,0.1545151777475736
6,downside_volatility,0.2035771137760179
7,downside_volatility,0.1688631348131054
8,downside_volatility,0.1488061220288413
0,volatility_ratio,0.4049621839414478
1,volatility_ratio,0.5184024193511305
2,volatility_ratio,0.7647977572769975
3,volatility_ratio,0.6252220929202432
4,volatility_ratio,0.9170880510250364
5,volatility_ratio,0.7068020312998384
6,volatility_ratio,0.6043231421178411
7,volatility_ratio,0.4337621675566872
8,volatility_ratio,1.0133393986757695
0,volatility_of_volatility,1.1612307549379852
1,volatility_of_volatility,0.977408575765306
2,volatility_of_volatility,0.7631144136676985
3,volatility_of_volatility,0.811950937652451
4,volatility_of_volatility,0.7120383257916767
5,volatility_of_volatility,0.7720226552913902
6,volatility_of_volatility,0.8342679379729108
7,volatility_of_volatility,1.2091501544312282
8,volatility_of_volatility,0.7165751320842658
